Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,alexa,"99,99",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","41,75","8,89",B01GAGVCUY,"Amazon Echo, Schwarz","32,8","25,85",B01DFKC22A,"Amazon Echo Dot (2. Generation), Weiß","7,72","6,02"
Amazon.de,elektrogrill,"99,99",B000FMM7JU,Severin PG 2792 Barbecue-Elektrogrill schwarz,"10,13","5,71",B0015Q46VC,Steba VG200 BBQ Tischgrill mit Glasdeckel,"7,2","3,65",B00DNDHRDE,"SUNTEC elektrischer Standgrill BBQ-9479 [Für Innen & Außen, auch als Tischgrill geeignet, inkl. Soßenhalter, regelbarer Thermostat, max. 1600 Watt]","5,47","1,51"
Amazon.de,helene fischer,"99,99",B06XSQ8LKC,Helene Fischer,"62,48","8,22",B06XT1X5NR,,"20,2",0,B06XSVVP6R,Helene Fischer (Deluxe Version im Digipak inkl. 6 Bonustracks),"8,73","2,75"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"46,19","10,58",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"37,9","9,38",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"5,1","5,71"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"31,85","5,44",B01M6ZGICT,Nintendo Switch Konsole Grau,"19,11","4,75",B01N4ND0F9,Mario Kart 8 Deluxe [Nintendo Switch],"5,37","1,26"
Amazon.de,planschbecken,"99,99",B001O9C41O,"Bestway Family Pool Blue Rectangular, 262x175x51 cm","11,98","1,98",B005DUW6EK,"Intex Play Center Dinosaur, Mehrfarbig, 249 x 191 x 109 cm","11,16","2,05",B00C6A5OOO,"Intex Babypool Play Box Pool, Farblich Sortiert, 85 x 85 x 23 cm, Sortierte Farben","5,95","2,71"
Amazon.de,pool,"99,99",B001IWNDDA,"Intex Family Schwimmbecken, blau, 300 x 200 x 75 cm","24,47","6,52",B0007XC2JC,"Intex Aufstellpool Frame Pool Set Rondo, ohne Filterpumpe, blau, Ø 305 x 76 cm","10,98","8,89",B000MBUOOO,"Intex Easy Set Aufstellpool, blau, Ø 305 x 76 cm","8,69","9,08"
Amazon.de,ps4 spiele,"99,99",B01N4K7CBF,Constructor,"5,56","1,34",B071N9SDXL,Call of Duty: WWII - Standard Edition - [PlayStation 4],"4,92","0,51",B06W9L2KY3,Crash Bandicoot N.Sane Trilogy - [PlayStation 4],"3,95","1,21"
Amazon.de,rauchmelder,"99,99",B01MTOCR7N,mumbi RM250 VDS 10 Jahres Rauchmelder DIN EN14604,"19,79","10,7",B01M0F92FQ,mumbi RMF150 Funkrauchmelder: 4 x Funk Rauchmelder / Feuermelder geprüft nach DIN EN 14604 - verlinkbar vernetzbar koppelbar,"11,03","7,87",B00DW78A8C,mumbi 4er Set Magnetbefestigung für Rauchmelder Magnet Befestigung für glatte Flächen (NICHT für Rauhfaser oder losen Putz),"9,13","3,54"
Amazon.de,ventilator,"99,99",B003KHJO6G,"Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator, schwarz","16,57","5,67",B001AO0OXI,Honeywell HO-5500RE Turmventilator oszillierend silber/schwarz,"11,76","2,18",B001UHOU2G,AEG T-VL 5531 Tower-Ventilator,"8,86","4,56"
Amazon.de,bluetooth lautsprecher,"99,98",B06XGTYJ4X,JBL Flip 3 Spritzwasserfester Tragbarer Bluetooth-Lautsprecher mit außerordentlich Kraftvollem Klang - Sonderausgabe - Schwarz,"16,97","1,37",B00TFGWAA8,"JBL Go Ultra Wireless Bluetooth Lautsprecher (3,5mm AUX-Eingang, geeignet für Apple iOS und Android Smartphones, Tablets und MP3 geräten) schwarz","12,72","7,37",B00X9XD1LK,Bose SoundLink Mini Bluetooth Lautsprecher II carbon,"11,94","1,75"
Amazon.de,fire tv stick,"99,98",B01ETRIS3K,Der neue Fire TV Stick mit Alexa-Sprachfernbedienung,"77,29","34,65",B00LO2DE6K,"Fire TV Stick, Zertifiziert und generalüberholt","11,13","24,39",B00UH2K93O,Amazon Fire TV mit 4K Ultra HD,"6,5","5,13"
Amazon.de,gasgrill,"99,98",B00VE1GL2U,Clatronic Gasgrill GG 3590 2 Brenner,"13,65","18,87",B06W2MYYVS,"El Fuego Gasgrill, Dayton 6 Plus 1, schwarz, 54 x 133 x 97 cm, AY4601","5,94","12,76",B00RVSWY9O,Tepro 3142 Tisch-Gasgrill Abington,"5,64","3,25"
Amazon.de,grill,"99,98",B006CE0W6K,Tepro Toronto Holzkohlegrill,"21,26","7,03",B004W72E5Q,Nexos YG00263_G Mini Grill Kugelgrill Holzkohlegrill für Garten Terrasse Camping Festival Picknick BBQ Barbecue  Ø 30 cm grün,"9,12","4,31",B00009ENI7,"Landmann Rundgrill 34,5 cm, schwarz-rot, Rost verchromt, Glutwanne emailiert","6,83","12,84"
Amazon.de,helene fischer neues album 2017,"99,98",B06XSQ8LKC,Helene Fischer,"63,05","57,87",B06XT1X5NR,,"28,51",0,B06XSVVP6R,Helene Fischer (Deluxe Version im Digipak inkl. 6 Bonustracks),"4,51","9,23"
Amazon.de,iphone 5s hülle,"99,98",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"48,21","8,46",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle weiß transparent,"27,9","17,22",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"12,59","4,52"
Amazon.de,iphone 7 plus hülle,"99,98",B01J82ELP0,mumbi UltraSlim Hülle für iPhone 7 Plus Schutzhülle transparent (Ultra Slim - 0.55 mm),"47,54","22,89",B01J82EJRA,mumbi Schutzhülle für iPhone 7 Plus Hülle,"45,5","24,02",B01J82ES9Y,mumbi double GRIP Hülle für iPhone 7 Plus Schutzhülle schwarz,"3,31","12,65"
Amazon.de,jbl bluetooth lautsprecher,"99,98",B06XGTYJ4X,JBL Flip 3 Spritzwasserfester Tragbarer Bluetooth-Lautsprecher mit außerordentlich Kraftvollem Klang - Sonderausgabe - Schwarz,"19,53","2,75",B00TFGWAA8,"JBL Go Ultra Wireless Bluetooth Lautsprecher (3,5mm AUX-Eingang, geeignet für Apple iOS und Android Smartphones, Tablets und MP3 geräten) schwarz","12,22","11,54",B010SWJVS6,"JBL Xtreme Spritzwasserfester Tragbarer Bluetooth Lautsprecher mit 10,000 mAh Akku, Dualem USB-Ladeanschluss und Freisprechfunktion - Schwarz","10,91","5,51"
Amazon.de,kaffeemaschine,"99,98",B00JM0BYDQ,Melitta 1010-02 bk Easy Kaffeefiltermaschine -Glaskanne -Tropfstopp -Schwenkfilter schwarz,"9,55","7,67",B000ALVUM6,"Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall","9,49","4,22",B005FQJUI2,Melitta 100801 Optima Timer Kaffeefiltermaschine - schwarz/Edelstahl,"7,4","4,07"
Amazon.de,kindle,"99,98",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","35,01","9,55",B0186FESVC,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","21,38","27,77",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","8,44","5,17"
Amazon.de,lego star wars,"99,98",B01J41K0HS,LEGO Star Wars 75168 - Yoda's Jedi Starfighter,"7,07","0,48",B01J41JZX8,LEGO Star Wars 75169 - Duel on Naboo,"5,46","0,3",B00SDTTH5E,LEGO Star Wars 75105 - Millennium Falcon,"4,47","3,59"
Amazon.de,luftmatratze,"99,98",B000QEDIL8,Intex 68950 - Luftbett 191 x 76 x 22 cm,"16,28","5,03",B000HBGSP8,"Luftbett Downy Blue ""Full"" 137 x 191 x 22 cm","9,93","3,97",B00F0B5IV0,Bestway Luftbett Double-Size 191x137x22 cm,"8,5","3,36"
Amazon.de,nerf,"99,98",B01BP6GPV0,"Hasbro Nerf B5573EU4 - N-Strike Elite Hyper-Fire Blaster, Spielzeugblaster","7,39","3,92",B00JRBL0JI,"Hasbro 36033E35 Nerf N-Strike Elite XD Strongarm, Spielzeugblaster","7,12","4,37",B00B4M96SK,A3698 - Nerf N Elite Alpha,"6,67","3,61"
Amazon.de,popsocket,"99,98",B01EFKRR88,PopSockets: Expanding Stand and Grip for Smartphones and Tablets - Peace Mandala Sky,"19,38","5,42",B017DCS6JY,PopSockets: Expanding Stand and Grip for Smartphones and Tablets - Celebration,"10,86","4,84",B01EFKS4F8,PopSockets: Expanding Stand and Grip for Smartphones and Tablets - Peace Mandala Tiffany,"5,51","3,71"
Amazon.de,samsung galaxy s6 hülle,"99,98",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"45,61","8,98",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"45,58","17,37",B00W3T0PAQ,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle,"1,45","7,78"
Amazon.de,staubsauger,"99,98",B00NTR1PTG,"Siemens VS06B1110 Bodenstaubsauger synchropower mit Beutel, EEK B, highPower Motor, powerSecure System, Moonlight blue","22,74","8,18",B00M1Q4COG,"Siemens VS06B112A Bodenstaubsauger synchropower EEK B (mit Beutel, highPower-Motor, PowerProtect System, Hartbodendüse, 700 W) schwarz","6,77","4,69",B01MTF06KN,"Philips FC9332/09 PowerPro Compact Bodenstaubsauger, beutellos, 650 W, weiß","6,38","3,05"
Amazon.de,tablet,"99,98",B01ERY8650,"Samsung Galaxy Tab A (2016) T580 25,54 cm (10,1 Zoll) Wi-Fi Tablet-PC (Octa-Core, 2GB RAM, 16GB eMMC, Android 6.0, neue Version) schwarz","14,43","4,85",B01AHBC23E,"Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","14,37","1,23",B018Y22KF8,"Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 8 GB (Magenta) - mit Spezialangeboten","9,1","4,45"
Amazon.de,birkenstock damen,"99,97",B000QDTWH8,"Birkenstock Classic Gizeh Birko-Flor, Unisex-Erwachsene Zehentrenner, Schwarz (Schwarz), 38 EU","11,87","5,55",B000XW0T56,"Birkenstock Classic Madrid Birko-Flor, Damen Pantoletten, Schwarz (Schwarz Lack), 38 EU","10,21","2,9",B000KBKGSU,"Birkenstock Classic Madrid Birko-Flor, Damen Pantoletten, Silber (Silber), 38 EU","5,11","2,82"
Amazon.de,campingstuhl,"99,97",B00MVX7X5O,Nexos 2-er Set Angelstuhl Anglerstuhl Faltstuhl Campingstuhl Klappstuhl mit Armlehne und Getränkehalter praktisch robust leicht dunkelgrün,"27,23","6,14",B013BDWO1U,Nexos Angelstuhl Anglerstuhl Faltstuhl Campingstuhl Klappstuhl mit Armlehne und Getränkehalter praktisch robust leicht schwarz,"18,19","8,14",B008380K7O,10T Quickfold Plus - Mobiler Camping-Stuhl mit Fußablage sehr handlich faltbar inkl. Tasche,"8,71","5,71"
Amazon.de,elektrische zahnbürste,"99,97",B00KBWBPRY,"Oral-B Pro 600 Elektrische Zahnbürste, mit CrossAction Aufsteckbürste","19,08","10,01",B003RRY446,Oral-B Vitality Cross Action,"10,17","8,66",B0140IEGIE,"Oral-B Pro 750 Elektrische Zahnbürste, mit CrossAction Aufsteckbürste und Reise-Etui, schwarz","7,6","5,39"
Amazon.de,gardena,"99,97",B00CC6LTNM,Gardena 8127-20 Viereckregner ZoomMaxx (Beregnete Fläche 9 - 216 qm; Reichweite 3 - 18 m; Sprengbreite bis 12 m ) mit Standfuß,"4,92","0,85",B00PNUCE60,"Gardena 18291-20 Grundausstattung, verpackt","4,7","3,09",B000OY6ZWY,"Gardena 8166-20 Schlauchstück Premium, mit Schnellkupplung, Klemmmutter mit hoher Haltkraft, Komfortables Design, Hochwertige Materialien (Anwendung: Schlauchanfang; Geeignet für: 13mm 1/2"" Schläuche","3,68","2,31"
Amazon.de,iphone se hülle,"99,97",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"39,32","12,64",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"37,77","7,32",B01G2DELRG,mumbi double GRIP Hülle für iPhone SE 5S 5 Schutzhülle schwarz,"3,7","6,88"
Amazon.de,kaffeevollautomat,"99,97",B00400OMU0,"De'Longhi Magnifica S ECAM 22.110.B Kaffeevollautomat (Direktwahltasten und Drehregler, Milchaufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) schwarz","21,72","9,61",B00INSX904,"KRUPS EA8108 Kaffeevollautomat (1,8 l, 15 bar, CappuccinoPlus-Düse) schwarz","10,62","12,76",B002OHDBLW,"De'Longhi ECAM 23.420.SB Kaffeevollautomat (Digitaldisplay, Profi-Aufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) silber/schwarz","7,53","2,1"
Amazon.de,kindle paperwhite,"99,97",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","48,12","18,24",B017DOUW76,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Weiß) - mit Spezialangeboten","15,81","18,1",B00QJDU3KY,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz)",11,"9,68"
Amazon.de,kondome,"99,97",B00N9W34X6,"Durex Kondome Gefühlsecht, 1er Pack (1 x 16 Stück)","22,59","6,63",B001GM3VKC,Billy Boy Kondome - 100er Mix-Beutel,"10,9","4,56",B00KIQI5A8,"Durex Fun Explosion Kondome Megapack 40er Großpackung, 1er Pack (1 x 40 Stück)","10,82","3,26"
Amazon.de,kühlbox,"99,97",B00TZXVBPG,Severin KB 2922 Elektrische Kühlbox / A++ / 41.6 cm Höhe / 70 kWh/Jahr / zum Kühlen und Warmhalten geeignet [Energieklasse A++],"14,56","2,91",B00BJF9JPC,EZetil Mirabelle E24 Thermoelektrische Kühlbox 12V,"11,31","3,61",B00B6VN46Y,Mobicool Q40 AC/DC elektrische Alu-Kühlbox für Auto und Steckdose,"6,3","2,44"
Amazon.de,kühlschrank,"99,97",B018Z7E3NO,Bomann VS 3262 Kühlschrank / A+ / 84 cm Höhe / 109 kWh/Jahr / weiß,"9,49","6,43",B00K8O20N8,Bomann KB 389 Mini-Kühlschrank / A++ / 51 cm Höhe / 84 kWh/Jahr / regelbarer Thermostat / Kühlmittel R600a / weiß,"8,16","1,87",B007DC216Y,Beko TS 190020 Kühlschrank / A+ / 118 kWh/Jahr / Kühlteil: 88 L / Weiß / Unterbaufähig / Glasablagen,"7,69","5,76"
Amazon.de,laptop,"99,97",B01MQLSQL9,"Asus E200HA-FD0043TS 29,4 cm (11,6 Zoll) Notebook (Intel Atom X5-Z8350, 2GB RAM, 32GB eMMC, Intel HD-Grafik, Win 10 Home) gold","22,61","13,18",B01HM4XJ7M,Microsoft Surface Pro 4 Signature Type Cover - Designer Edition aus Alcantara (QWERTZ),"15,64","3,35",B06XX8PY3M,"Acer Predator 21X (GX21-71-74DP) 53,34 cm (21 Zoll WFHD Curved IPS (matt)) Highend Gaming-Notebook (Intel Core i7-7820HK (overclocking), 2x NVIDIA GeForce GTX 1080 SLI (16 GB GDDR5X VRAM), 64GB RAM, 2x 512 GB PCIe SSD + 1000 GB HDD, Win 10 Home)","8,64",0
Amazon.de,makita,"99,97",B0042CWWS0,Makita B-43044 Bohrer Bit Set 66tlg. im MAKPAC,"9,11","6,83",B00N4VTTR2,"Makita Akku-Schlagbohrschrauber 18 V / 1,5 Ah inklusive Akku-Lampe, DHP453RYLJ","7,23","4,2",B00NY9ATOQ,"Makita Akku-Set 18 V, DHP453 und DTD146, DLX2020Y","6,13","7,17"
