Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"25,28","5,26",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"23,16","8,32",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,23,"7,89"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"47,29","12,28",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"47,16","7,5",B00T5XVVBA,mumbi Tasche im Bookstyle für Samsung Galaxy S6 / S6 Duos Tasche,"0,75","15,33"
Amazon.de,sony xperia z5 hülle,"99,97",B016QC8APM,mumbi Schutzhülle Sony Xperia Z5 Hülle transparent weiss (Ultra Slim - 0.55 mm),"98,59","13,98",B014UVDNGM,mumbi Tasche im Bookstyle für Sony Xperia Z5 Tasche,"0,38",33,B014UVDH2M,mumbi Schutzhülle Sony Xperia Z5 Hülle,"0,36","14,88"
Amazon.de,ventilator,"99,97",B003KHJO6G,"Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator, schwarz","26,17","7,46",B001AO0OXI,Honeywell HO-5500RE Turmventilator oszillierend silber/schwarz,"15,16","2,52",B001UHOU12,AEG VL 5529 Tisch-/Wand-Ventilator,"11,15","6,71"
Amazon.de,huawei p8 lite hülle,"99,96",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"24,75","8,59",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"23,15","13,1",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"22,24","10,53"
Amazon.de,iphone 6 hülle,"99,96",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"46,39","13,85",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"32,34","7,46",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"4,46","2,56"
Amazon.de,kindle,"99,96",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","28,84","4,73",B00KDRUCJY,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten (Vorgängermodell - 7. Generation)","14,11","9,08",B0186FESVC,"Der neue Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","9,12","1,95"
Amazon.de,lg g4 hülle,"99,96",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"24,08","15,34",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,25","16,11",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,58","3,58"
Amazon.de,pool,"99,96",B001IWNDDA,Intex Frame Pool Family 300 x 200 x 75 cm (L x B x H),"15,54","2,55",B001O9C41O,"Bestway Family Pool, Rectangular, blau, 262 x 175 x 51 cm","8,73","1,3",B014FHBGHY,"Bestway Frame Pool Steel Pro Set, blau, 366 x 122 cm","7,61","1,66"
Amazon.de,samsung galaxy j5 hülle,"99,96",B00ZRJAH6Q,mumbi Schutzhülle Samsung Galaxy J5 Hülle,"32,42","16,62",B00ZRJ9YRY,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent weiss,"31,88","4,25",B00ZRJA67G,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent schwarz,"31,77","8,16"
